Temperature (K),Lennard-Jones,Square Well,Hard Sphere
100.0,-160.98853137894528,-352.2953042144656,49.38359897252319
177.77777777777777,-56.0122744223667,-145.53163810280864,49.38359897252319
255.55555555555554,-23.090339248114322,-89.21227014997301,49.38359897252319
333.3333333333333,-7.288849793892781,-63.44929657257975,49.38359897252319
411.1111111111111,1.8550450106712852,-48.757115938685736,49.38359897252319
488.88888888888886,7.741049660286614,-39.2803880030807,49.38359897252319
566.6666666666666,11.80023754227074,-32.66666418051065,49.38359897252319
644.4444444444443,14.737730699836595,-27.791147520381053,49.38359897252319
722.2222222222222,16.940203693175988,-24.04922332098361,49.38359897252319
800.0,18.636869896276814,-21.087225832932297,49.38359897252319
