T (K),Z,U (eV/mol),F (eV/mol),S (eV/mol/K)
300.0,14.0,0.0,-0.06823027574796076,0.00022743425249320244
488.8888888888889,14.0,-0.0,-0.11119007899667678,0.00022743425249320244
677.7777777777778,14.0,5.551115123125783e-17,-0.1541498822453928,0.00022743425249320255
866.6666666666666,14.0,1.1102230246251565e-16,-0.19710968549410884,0.00022743425249320255
1055.5555555555557,14.0,-0.0,-0.24006948874282488,0.00022743425249320255
1244.4444444444443,14.0,-0.0,-0.28302929199154087,0.00022743425249320255
1433.3333333333333,14.0,4.440892098500626e-16,-0.32598909524025693,0.00022743425249320266
1622.2222222222222,14.0,2.220446049250313e-16,-0.36894889848897294,0.00022743425249320234
1811.111111111111,14.0,-0.0,-0.41190870173768895,0.00022743425249320244
2000.0,14.0,0.0,-0.454868504986405,0.00022743425249320266
