Temperature(K),PartitionFunction
10.0,1.6875701078495628e+124
62.10526315789474,5.652830105366003e+122
114.21052631578948,1.8622085028608262e+123
166.31578947368422,4.605893335412583e+123
218.42105263157896,9.341561549908794e+123
270.5263157894737,1.6632512931496574e+124
322.63157894736844,2.7049843924352698e+124
374.7368421052632,4.1170240969715096e+124
426.8421052631579,5.957492173268808e+124
478.94736842105266,8.284895434865362e+124
531.0526315789474,1.115807635252221e+125
583.1578947368421,1.4636174973863613e+125
635.2631578947369,1.877859846327631e+125
687.3684210526317,2.3644996112059014e+125
739.4736842105264,2.9295238442785333e+125
791.578947368421,3.578939947146704e+125
843.6842105263158,4.318774146216357e+125
895.7894736842106,5.15507016857512e+125
947.8947368421053,6.0938880815282844e+125
1000.0,7.14130326754415e+125
